Station Name: KNOCK AIRPORT
Station Height: 201 M 
Latitude:53.906  ,Longitude: -8.817


year:  -  Year
month: -  Month
rain:  -  Precipitation Amount (mm)
meant: -  Mean Air Temperature (C)
maxtp: -  Maximum Air Temperature (C)	  
mintp: -  Minimum  Air Temperature (C)	
mnmax: -  Mean Maximum Temperature (C)
mnmin: -  Mean Minimum Temperature (C)
gmin:  -  Grass Minimum Temperature (C)
wdsp:  -  Mean Wind Speed (knot)
mxgt:  -  Highest Gust (knot)
sun:   -  Sunshine duration (hours)
ind:   -  Indicator

year,month,meant,maxtp,mintp,mnmax,mnmin,rain,gmin,wdsp,maxgt,sun
1996,8,13.4,20.4,7.3,16.6,10.3,109.4,5.3,8.3,34, 
1996,10,9.7, , ,12.5,7.0, , , , , 
1996,11,5.0, , ,7.6,2.5, , , , , 
1996,12,3.1,10.7,-4.0,5.2,1.1, ,-5.3,9.4,48, 
1997,1,3.4,10.7,-3.9,5.2,1.6,26.0,-5.2,8.0,40,42.1
1997,2,5.0,10.5,-0.5,8.0,1.9,189.6,-4.5,15.0,58,58.9
1997,3,6.9,12.6,-1.5,9.9,3.8,80.8,-4.2,11.3,58,91.7
1997,4,8.9,17.3,1.0,12.4,5.3,47.3,-1.9,7.8,40,117.3
1997,5,10.5,23.9,-0.7,14.7,6.4,83.1,-2.0,8.5,42,200.5
1997,6,11.6,19.1,4.0,14.9,8.4,98.0,3.1,9.9,42,137.6
1997,7,14.3,22.3,7.4,17.7,10.9,149.8,5.2,8.6,38,141.6
1997,8,15.1,23.0,8.2,18.4,11.8,109.4,5.5,9.0,44,127.7
1997,9,12.1,18.5,4.8,15.3,8.9,95.0,2.9,9.3,50,109.3
1997,10,9.4,16.2,1.4,12.2,6.7,99.3,0.0,8.5,35,86.3
1997,11,7.3,14.8,0.3,9.7,4.9,137.7,-3.2,9.0,46,41.7
1997,12,5.3,11.1,-0.2,7.6,3.1,146.2,-5.4,11.5,71,43.1
1998,1,4.3,11.8,-3.7,6.6,2.0,156.8,-6.0,10.7,58,40.0
1998,2,6.7,11.9,-0.7,9.0,4.3,85.1,-5.0,13.0,47,44.7
1998,3,7.0,14.8,0.0,9.5,4.4,99.3,-2.1,9.2,52,53.6
1998,4,6.0,14.3,-2.8,9.4,2.6,113.4,-5.3,9.2, ,152.4
1998,5,10.7,22.8,2.2,14.3,7.1,45.3,-0.4,8.2,35,151.3
1998,6,11.6,19.3,4.2,15.0,8.2,133.6,2.9,8.7,38,123.0
1998,7,12.6,19.0,7.4,15.4,9.7,122.4,5.7,9.8,40,84.0
1998,8,13.6,20.5,7.7,16.7,10.4,107.4,2.0,10.1, ,136.1
1998,9,12.7,21.8,5.5,15.8,9.6,73.1,1.7,9.4,42,108.9
1998,10,9.2,15.0,2.2,12.0,6.4,186.6,0.4,11.0,58,105.2
1998,11,6.3,14.1,-0.5,8.8,3.8,149.6,-4.6,10.8,64,58.3
1998,12,5.0,12.6,-2.3,7.9,2.1,150.0,-4.1,10.9,79,32.7
1999,1,4.1,9.8,-3.4,6.4,1.8,203.5,-7.5,11.5,59,60.0
1999,2,5.0,10.6,-2.6,7.3,2.6,104.7,-5.7,12.2, ,48.1
1999,3,5.5,12.6,-0.6,8.6,2.5,104.2,-4.6,11.3,52,118.3
1999,4,8.0,17.7,-1.6,11.3,4.6,127.5,-5.2,12.0,56,142.5
1999,5,10.7,18.1,4.2,14.2,7.3,80.4,1.9,9.6,45,126.5
1999,6,11.2,20.9,4.2,14.6,7.7,68.1,1.9,8.3,36,127.1
1999,7,14.7,25.3,7.6,18.4,11.0,96.7,6.1,8.9,37,159.4
1999,8,14.3,22.0,8.0,17.6,10.9,132.5,5.9,8.3,31,118.8
1999,9,12.3,19.6,3.8,15.4,9.2,197.9,1.7,9.7,52,85.6
1999,10,9.1,14.6,2.1,12.0,6.2,82.8,0.8,10.2,54,80.2
1999,11,6.6,11.6,1.0,9.1,4.2,206.4,-3.1,8.5,53,50.3
1999,12,4.0,10.9,-2.1,6.6,1.4,250.5,-4.1,11.9,58,34.0
2000,1,4.5,10.9,-1.4,6.8,2.3,110.0,-4.3,10.8,52,45.9
2000,2,4.9,12.1,-1.6,8.1,1.8,150.2,-1.8,13.8,61,54.6
2000,3,6.8,12.8,0.0,9.5,4.0,78.9,-3.1,9.5,49,81.7
2000,4,6.0,16.0,-1.5,9.3,2.7,77.4,-3.8,9.8,41,120.1
2000,5,10.6,22.4,2.0,15.0,6.3,58.2,-0.6,9.3,34,252.8
